INSTNM,INSTURL,SAT_AVG,ADM_RATE,ACT_MEDIAN,GRAD_DEBT_MDN,UGDS,PCTPELL,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN,C200_4,COSTT4_A,CITY,STABBR,IS_PUBLIC,IS_CITY
Lawson State Community College,www.lawsonstate.edu/,NA,NA,NA,NA,2720,0.5978,0.1051,0.7985,0.0474,0.0037,7e-4,0.0011,0.0379,0.0044,0.0011,NA,15028,Birmingham,AL,1,1
University of West Alabama,www.uwa.edu/,1015,0.8711,NA,24944,2666,0.5401,0.4745,0.3807,0.0323,0.0019,0.0075,4e-4,0.0263,0.0233,0.0533,0.3875,22402,Livingston,AL,1,0
Lurleen B Wallace Community College,https://www.lbwcc.edu/,NA,NA,NA,NA,1122,0.3624,0.6845,0.2228,0.0303,0.008,0.0036,9e-4,0.0446,0.0018,0.0036,NA,10223,Andalusia,AL,1,0
Marion Military Institute,www.marionmilitary.edu/,1043,0.5917,NA,9250,308,0.4344,0.5455,0.2727,0.0877,0.013,0.0097,0.0032,0.0584,0.0032,0.0065,NA,18458,Marion,AL,1,0
Miles College,https://www.miles.edu/,NA,NA,NA,31217,1151,0.7552,0.0252,0.9513,0.0182,9e-4,0,0,0.0026,0,0.0017,0.2435,22900,Fairfield,AL,0,1
University of Mobile,https://www.umobile.edu/,1220,0.7251,NA,26500,1079,0.2986,0.6228,0.1761,0.0315,0.013,0.0204,0.0019,0.0575,0.0306,0.0463,0.5142,38731,Mobile,AL,0,0
University of Montevallo,www.montevallo.edu/,NA,0.539,NA,24000,2087,0.3904,0.6555,0.1639,0.0733,0.0053,0.0043,5e-4,0.0326,0.0398,0.0249,0.5289,26233,Montevallo,AL,1,0
Northwest Shoals Community College,https://www.nwscc.edu/,NA,NA,NA,10000,1924,0.2753,0.7396,0.1081,0.0915,0.0052,0.0026,0.0016,0.0457,0.0036,0.0021,NA,10894,Muscle Shoals,AL,1,1
University of North Alabama,https://www.una.edu/,NA,0.9648,NA,22077,5468,0.2411,0.7176,0.0949,0.0481,0.0219,0.0038,9e-4,0.0433,0.0647,0.0046,0.5268,22086,Florence,AL,1,1
Northeast Alabama Community College,https://www.nacc.edu/,NA,NA,NA,6100,1547,0.378,0.7285,0.0149,0.1597,0.0045,0.0116,0.0013,0.0763,0.0032,0,NA,10620,Rainsville,AL,1,0
Oakwood University,https://www2.oakwood.edu/,NA,0.5051,NA,27000,1253,0.4735,0.0152,0.6935,0.0774,0,0.0024,0,0.0255,0.1516,0.0343,0.5164,38592,Huntsville,AL,0,1
Reid State Technical College,www.rstc.edu/,NA,NA,NA,NA,365,0.4631,0.2767,0.6521,0.0137,0.011,0.0055,0,0.0384,0,0.0027,NA,9066,Evergreen,AL,1,0
Bishop State Community College,www.bishop.edu/,NA,NA,NA,NA,2100,0.4195,0.2195,0.6748,0.0229,0.0195,0.0076,0.001,0.0371,0.0143,0.0033,NA,11530,Mobile,AL,1,1
Samford University,www.samford.edu/,1203,0.8223,NA,19500,3828,0.1084,0.8574,0.0447,0.0468,0.0133,0.0018,0.0013,0.0214,0.0076,0.0057,0.7915,53934,Birmingham,AL,0,1
Selma University,https://selmau.edu/,NA,NA,NA,NA,34,0,0,1,0,0,0,0,0,0,0,0.0216,NA,Selma,AL,0,0
Shelton State Community College,www.sheltonstate.edu/,NA,NA,NA,NA,3191,0.3987,0.5099,0.3867,0.0505,0.0063,0.0028,9e-4,0.0342,0.0075,0.0013,NA,16607,Tuscaloosa,AL,1,1
Snead State Community College,www.snead.edu/,NA,NA,NA,9000,1494,0.3359,0.6426,0.0763,0.2242,0.0067,0.004,0.0013,0.0388,0.0047,0.0013,NA,12583,Boaz,AL,1,0
University of South Alabama,www.southalabama.edu/,1119,0.6549,28,24929,8540,0.3713,0.6091,0.2203,0.0521,0.0398,0.006,0.0013,0.0451,0.0112,0.0151,0.4957,22070,Mobile,AL,1,1
Spring Hill College,https://www.shc.edu/,1090,0.591,NA,27000,850,0.3301,0.5718,0.1341,0.0965,0.0129,0.0082,0,0.0188,0.1035,0.0541,0.5687,37172,Mobile,AL,0,1
Stillman College,https://stillman.edu/,NA,0.7422,NA,29067,761,0.682,0.0749,0.8581,0.0053,0.0013,0,0,0,0.0355,0.025,0.1623,23485,Tuscaloosa,AL,0,1
Talladega College,www.talladega.edu/,NA,0.9925,NA,28500,782,0.7551,0.0499,0.7788,0.0844,0.0013,0.0038,0.0013,0.0141,0,0.0665,0.2627,23441,Talladega,AL,0,0
H Councill Trenholm State Community College,www.trenholmstate.edu/,NA,NA,NA,NA,1584,0.5519,0.1843,0.7178,0.0499,0.0095,0.0025,6e-4,0.0303,0.0044,6e-4,NA,12148,Montgomery,AL,1,1
Troy University,www.troy.edu/,1086,0.9261,NA,25000,10089,0.423,0.5305,0.3195,0.0474,0.0076,0.0028,0.0013,0.0426,0.0261,0.0223,0.5248,21816,Troy,AL,1,0
Tuskegee University,www.tuskegee.edu/,1121,0.3143,NA,27000,2367,0.4767,0.0072,0.9248,0.0017,0.003,0.0025,4e-4,0.0351,0,0.0253,0.5754,41924,Tuskegee,AL,0,0
United States Sports Academy,www.ussa.edu/,NA,0.3529,NA,NA,136,0.3478,0.3456,0.2794,0.1324,0,0.0147,0,0.0147,0.0074,0.2059,NA,NA,Daphne,AL,0,1
Bevill State Community College,www.bscc.edu/,NA,NA,NA,NA,2189,0.3027,0.7437,0.1759,0.0306,0.0046,0.0023,0.0014,0.0402,0,0.0014,NA,15238,Jasper,AL,1,0
University of Alaska Anchorage,www.uaa.alaska.edu/,NA,0.6652,NA,20210,6916,0.191,0.4863,0.0369,0.1134,0.1252,0.0535,0.0068,0.1163,0.0182,0.0435,0.3579,21848,Anchorage,AK,1,1
Alaska Bible College,www.akbible.edu/,NA,NA,NA,NA,34,0.4872,0.8529,0.0294,0.0294,0,0,0,0.0882,0,0,0.3333,22101,Palmer,AK,0,1
University of Alaska Fairbanks,www.uaf.edu/,NA,NA,28,20291,4027,0.2237,0.5309,0.0335,0.0976,0.0313,0.1331,0.006,0.1065,0.0112,0.0499,0.4643,21182,Fairbanks,AK,1,1
