INSTNM,INSTURL,SAT_AVG,ADM_RATE,ACT_MEDIAN,GRAD_DEBT_MDN,UGDS,PCTPELL,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN,C200_4,COSTT4_A,CITY,STABBR,IS_PUBLIC,IS_CITY
Northwestern Michigan College,https://www.nmc.edu/,NA,NA,NA,12500,2668,0.285,0.7845,0.0135,0.051,0.0139,0.0139,4e-4,0.0382,0.0019,0.0828,0.8125,11821,Traverse City,MI,1,1
Northwood University,www.northwood.edu/,NA,0.839,NA,20842,1900,0.2469,0.6995,0.0842,0.0695,0.0132,0.0058,0.0016,0.03,0.02,0.0763,0.628,47114,Midland,MI,0,1
Oakland Community College,https://www.oaklandcc.edu/,NA,NA,NA,9105,11772,0.2741,0.512,0.2109,0.0674,0.0293,0.0042,0.0016,0.0477,0.0601,0.0668,NA,11487,Auburn Hills,MI,1,1
Oakland University,www.oakland.edu/,1110,0.7024,NA,22750,12450,0.2983,0.7006,0.0963,0.0538,0.0611,0.0019,0.001,0.0412,0.018,0.0261,0.5901,25016,Rochester Hills,MI,1,1
The University of Olivet,https://www.uolivet.edu/,NA,0.9711,NA,27000,918,0.4174,0.659,0.1667,0.0763,0.0065,0.0022,0.0011,0.0773,0.0011,0.0098,0.4454,45849,Olivet,MI,0,0
Port Huron Cosmetology College,www.michigancollegeofbeauty.com/,NA,NA,NA,NA,52,0.2152,0.4038,0.4231,0.1154,0.0577,0,0,0,0,0,NA,NA,Waterford,MI,0,1
Kuyper College,https://www.kuyper.edu/,NA,0.3385,NA,21389,119,0.3165,0.5126,0.2773,0.1008,0.0252,0,0,0.0336,0.0252,0.0252,0.4211,37282,Grand Rapids,MI,0,1
Ross Medical Education Center-Lansing,https://rosseducation.edu/,NA,NA,NA,9500,96,0.8698,0.1146,0.1979,0.0313,0,0,0.0208,0.0625,0.0104,0.5625,NA,NA,Lansing,MI,0,1
Ross Medical Education Center-Warren,https://rosseducation.edu/,NA,NA,NA,9500,153,0.8462,0.0392,0.2876,0.0196,0.0131,0,0,0.0392,0.0065,0.5948,NA,NA,Warren,MI,0,1
Ross Medical Education Center-Flint,https://rosseducation.edu/,NA,NA,NA,9500,87,0.8974,0.1034,0.1954,0.023,0,0,0,0.046,0.023,0.6092,NA,NA,Flint,MI,0,1
Sacred Heart Major Seminary,www.shms.edu/,NA,1,NA,NA,176,0.0636,0.6534,0.0057,0.0852,0.0114,0.0625,0,0.0057,0,0.1761,0.6,39466,Detroit,MI,0,1
Saginaw Valley State University,www.svsu.edu/,1051,0.7288,NA,25000,6004,0.3237,0.762,0.0819,0.0596,0.0117,0.0028,3e-4,0.0331,0.027,0.0215,0.4544,24043,University Center,MI,1,1
Schoolcraft Community College District,https://www.schoolcraft.edu/,NA,NA,NA,10500,6626,0.2719,0.5883,0.1748,0.0691,0.0423,0.0017,0.0012,0.0407,0.0275,0.0545,NA,11921,Livonia,MI,1,1
Siena Heights University,https://www.sienaheights.edu/,1033,0.6656,NA,18750,1533,0.309,0.6406,0.1298,0.0907,0.017,0.0059,0.0013,0.0235,0,0.0913,0.5066,42802,Adrian,MI,0,0
St Clair County Community College,www.sc4.edu/,NA,NA,NA,11750,1955,0.2498,0.823,0.0486,0.0445,0.0113,0.0246,5e-4,0.0097,0.001,0.0368,NA,12153,Port Huron,MI,1,1
Southwestern Michigan College,www.swmich.edu/,NA,NA,NA,10959,1396,0.3824,0.6683,0.1533,0.0172,0.0136,0.01,0.0014,0.0695,0,0.0666,NA,14999,Dowagiac,MI,1,0
Spring Arbor University,https://www.arbor.edu/,1072,0.3733,NA,26375,990,0.2591,0.7111,0.0687,0.0626,0.0101,0.004,0.001,0.0293,0.0293,0.0838,0.6517,43178,Spring Arbor,MI,0,0
Michigan Career and Technical Institute,www.michigan.gov/MCTI,NA,NA,NA,NA,118,0.3394,0.8305,0.0593,0.0339,0.0339,0,0,0.0424,0,0,NA,16152,Plainwell,MI,1,0
Twin City Beauty College,tcbeautycollege.com/,NA,NA,NA,9320,269,0.4035,0.7175,0.0446,0.171,0.0149,0.0037,0,0.0446,0,0.0037,NA,NA,Saint Joseph,MI,0,1
Walsh College,https://walshcollege.edu/,NA,NA,NA,16217,535,0.3114,0.7981,0.071,0.0187,0.0318,0.0056,0,0.0243,0.0187,0.0318,NA,NA,Troy,MI,0,1
Washtenaw Community College,www.wccnet.edu/,NA,NA,NA,13310,7736,0.2686,0.5915,0.179,0.0804,0.0315,0.0034,0.0012,0.0651,0.019,0.0288,NA,11161,Ann Arbor,MI,1,1
Wayne County Community College District,www.wcccd.edu/,NA,NA,NA,12062,7848,0.2846,0.171,0.6966,0.0166,0.0045,0.0022,0.0011,0.0429,0.0243,0.0408,NA,12642,Detroit,MI,1,1
Wayne State University,https://wayne.edu/,1147,0.8203,NA,21250,15676,0.4304,0.5396,0.1717,0.0773,0.1386,0.0024,4e-4,0.0405,0.0217,0.0078,0.5985,26794,Detroit,MI,1,1
West Shore Community College,https://www.westshore.edu/,NA,NA,NA,9089,651,0.3367,0.7926,0.0261,0.1198,0.0061,0.0108,0.0015,0.0292,0.0046,0.0092,NA,9674,Scottville,MI,1,0
Paul Mitchell the School-Grand Rapids,paulmitchell.edu/grandrapids,NA,NA,NA,9833,84,0.415,0.8452,0.0357,0.0833,0.0119,0.0119,0.0119,0,0,0,NA,NA,Kentwood,MI,0,1
Western Michigan University,https://wmich.edu/,1108,0.8468,NA,26188,12704,0.2537,0.6917,0.0782,0.09,0.026,0.0036,5e-4,0.0424,0.0454,0.0223,0.5919,28655,Kalamazoo,MI,1,1
Academy College,www.academycollege.edu/,NA,NA,NA,29500,112,0.3243,0,0,0.0089,0.0089,0,0,0,0,0.9821,0.4,34240,Bloomington,MN,0,1
Alexandria Technical & Community College,www.alextech.edu/,NA,NA,NA,12000,1438,0.1557,0.8268,0.0216,0.0668,0.0035,0.0028,7e-4,0.0292,0.0014,0.0473,NA,18962,Alexandria,MN,1,0
Anoka Technical College,www.anokatech.edu/,NA,NA,NA,11000,1522,0.3285,0.6156,0.1708,0.0815,0.0644,0.0046,0.0013,0.0493,7e-4,0.0118,NA,16662,Anoka,MN,1,1
Anoka-Ramsey Community College,www.anokaramsey.edu/,NA,NA,NA,13500,3983,0.1962,0.6164,0.1657,0.07,0.066,0.0033,0,0.0537,0.009,0.0158,NA,16110,Coon Rapids,MN,1,1
Augsburg University,www.augsburg.edu/,NA,0.7653,27,25347,2429,0.515,0.3289,0.2882,0.1449,0.107,0.0144,0.0016,0.0729,0.021,0.021,0.587,57966,Minneapolis,MN,0,1
Riverland Community College,https://www.riverland.edu/,NA,NA,NA,12000,1895,0.2649,0.6063,0.0818,0.1916,0.0438,0.0053,0.0011,0.0243,0.0164,0.0296,NA,14611,Austin,MN,1,0
Northwest Technical College,https://www.ntcmn.edu/,NA,NA,NA,15000,654,0.3301,0.685,0.0994,0.0367,0.0107,0.0963,0,0.0581,0.0031,0.0107,NA,18271,Bemidji,MN,1,0
Bemidji State University,https://www.bemidjistate.edu/,1090,0.7066,NA,19750,3120,0.2628,0.7779,0.0314,0.0407,0.017,0.049,6e-4,0.0615,0.0173,0.0045,0.4704,23066,Bemidji,MN,1,0
Bethany Lutheran College,https://www.blc.edu/,1144,0.5096,NA,23000,682,0.221,0.6598,0.0352,0.0601,0.0117,0.0015,0.0015,0.0381,0.1848,0.0073,0.6269,39624,Mankato,MN,0,1
Bethel University,https://www.bethel.edu/,1243,0.9099,NA,21500,2012,0.1898,0.7599,0.0591,0.0726,0.0477,0.0025,5e-4,0.0348,0.0015,0.0214,0.7512,56310,Saint Paul,MN,0,1
Central Lakes College-Brainerd,www.clcmn.edu/,NA,NA,NA,11000,1486,0.1455,0.8129,0.0686,0.0296,0.0074,0.0182,0,0.0485,0.0027,0.0121,NA,18003,Brainerd,MN,1,0
Carleton College,https://www.carleton.edu/,1491,0.2228,NA,16750,2019,0.1404,0.5156,0.0684,0.0996,0.1045,0.001,5e-4,0.0896,0.0981,0.0228,0.9187,81350,Northfield,MN,0,0
Concordia College at Moorhead,https://www.concordiacollege.edu/,1192,0.6306,NA,26847,1721,0.1976,0.7751,0.0418,0.0366,0.0291,0.0099,0.0012,0.018,0.0645,0.0238,0.7462,43074,Moorhead,MN,0,1
Concordia University-Saint Paul,https://www.csp.edu/,NA,0.7487,NA,17832,2786,0.3403,0.5162,0.1726,0.1159,0.107,0.0047,0.0032,0.0513,0.009,0.0201,0.5284,34495,Saint Paul,MN,0,1
Dakota County Technical College,www.dctc.edu/,NA,NA,NA,11000,2083,0.2713,0.6433,0.12,0.1186,0.0389,0.0067,0.001,0.0557,0.0024,0.0134,NA,15792,Rosemount,MN,1,0
Martin Luther College,www.mlc-wels.edu/,1191,0.8257,31,20177,718,0.2265,0.922,0.0125,0.0111,0.0042,0.0014,0,0.0348,0.0139,0,0.7485,29288,New Ulm,MN,0,0
Lake Superior College,www.lsc.edu/,NA,NA,NA,12775,2456,0.1925,0.8294,0.0277,0.0468,0.0138,0.0102,4e-4,0.0517,0.0106,0.0094,NA,20049,Duluth,MN,1,1
Minnesota State Community and Technical College,www.minnesota.edu/,NA,NA,NA,12000,2875,0.2518,0.6831,0.1457,0.063,0.025,0.0167,7e-4,0.0511,0.0077,0.007,NA,15570,Fergus Falls,MN,1,0
Minnesota West Community and Technical College,www.mnwest.edu/,NA,NA,NA,10987,1700,0.1405,0.6941,0.0653,0.1459,0.0212,0.0088,6e-4,0.0265,0.0188,0.0188,NA,17205,Granite Falls,MN,1,0
Gustavus Adolphus College,gustavus.edu/,1320,0.618,NA,26774,1930,0.2138,0.7979,0.0233,0.0554,0.0249,0,5e-4,0.0451,0.044,0.0088,0.784,65976,Saint Peter,MN,0,0
Hamline University,https://www.hamline.edu/,1197,0.8983,NA,23770,1685,0.3977,0.5614,0.1228,0.1318,0.0884,0.0059,6e-4,0.0546,0.0071,0.0273,0.6216,56738,Saint Paul,MN,0,1
Hennepin Technical College,www.hennepintech.edu/,NA,NA,NA,11433,2827,0.2642,0.4726,0.2398,0.099,0.1171,0.0042,0.0014,0.0488,0.006,0.011,NA,15830,Brooklyn Park,MN,1,1
Minnesota North College,https://minnesotanorth.edu/,NA,NA,NA,12000,1942,0.3016,0.7482,0.0767,0.0592,0.0046,0.0252,0.001,0.0587,0.0149,0.0113,NA,16231,Hibbing,MN,1,0
Aveda Arts & Sciences Institute Minneapolis,avedaarts.edu/locations/minneapolis,NA,NA,NA,6333,608,0.2405,0.5954,0.1135,0.0855,0.0428,0.0148,0.0049,0.051,0,0.0921,NA,NA,Minneapolis,MN,0,1
Inver Hills Community College,https://www.inverhills.edu/,NA,NA,NA,13965,2203,0.2327,0.4911,0.2079,0.1639,0.0676,0.0036,5e-4,0.0545,0.0027,0.0082,NA,15612,Inver Grove Heights,MN,1,1
Macalester College,www.macalester.edu/,1424,0.2821,39,23000,2131,0.1733,0.5171,0.0577,0.1131,0.0854,0.0019,0.0023,0.084,0.1328,0.0056,0.9038,78900,Saint Paul,MN,0,1
South Central College,southcentral.edu/,NA,NA,NA,12000,1890,0.3248,0.6286,0.1365,0.1423,0.0127,0.0026,0,0.0317,0.0339,0.0116,NA,15400,North Mankato,MN,1,1
Minnesota State University-Mankato,https://mnsu.edu/,1190,0.9133,NA,21106,11325,0.2048,0.7189,0.06,0.0569,0.0331,0.0026,2e-4,0.0343,0.0887,0.0055,0.5368,22565,Mankato,MN,1,1
Mayo Clinic College of Medicine and Science,https://college.mayo.edu/,NA,0.3871,NA,10500,296,0.0075,0.7669,0.0743,0.0101,0.0541,0.0068,0.0034,0.0541,0.0101,0.0203,NA,NA,Rochester,MN,0,1
Metropolitan State University,www.metrostate.edu/,1020,0.9649,NA,17100,4998,0.443,0.3613,0.3159,0.0772,0.1667,0.0056,8e-4,0.0414,0.0238,0.0072,0.3836,26057,Saint Paul,MN,1,1
University of Minnesota-Twin Cities,https://twin-cities.umn.edu/,1359,0.7703,38,19500,30469,0.1687,0.5921,0.0891,0.0599,0.1312,0.0035,4e-4,0.0499,0.0591,0.0148,0.8507,29013,Minneapolis,MN,1,1
University of Minnesota-Crookston,https://crk.umn.edu/,NA,0.5838,NA,20500,1650,0.1919,0.7061,0.0667,0.0661,0.0376,0.0109,0,0.0364,0.0467,0.0297,0.5652,25290,Crookston,MN,1,0
Minneapolis College of Art and Design,https://mcad.edu/,1170,0.4836,NA,27000,701,0.4017,0.6348,0.067,0.1084,0.0785,0.0128,0,0.0699,0.0114,0.0171,0.6621,54606,Minneapolis,MN,0,1
Minneapolis Community and Technical College,www.minneapolis.edu/,NA,NA,NA,17954,4816,0.4033,0.3171,0.3569,0.142,0.0509,0.0154,6e-4,0.0669,0.0264,0.0239,NA,18826,Minneapolis,MN,1,1
Herzing University-Minneapolis,https://www.herzing.edu/,NA,0.9382,NA,21500,747,0.5186,0.4137,0.3039,0.0656,0.1165,0.0013,0.0027,0.0295,0,0.0669,0.5,23747,St. Louis Park,MN,0,1
Nova Academy of Cosmetology Woodbury,https://novaacademy.edu/,NA,NA,NA,6333,56,0.4758,0.5536,0.0714,0.1607,0.0893,0.0179,0,0.1071,0,0,NA,NA,WOODBURY,MN,0,1
University of Minnesota-Duluth,https://www.d.umn.edu/,1221,0.8175,33,22024,7475,0.1824,0.8385,0.0225,0.0393,0.0302,0.0063,3e-4,0.0403,0.0108,0.0118,0.6561,26907,Duluth,MN,1,1
University of Minnesota-Morris,https://morris.umn.edu/,NA,0.7046,NA,18995,980,0.3081,0.5153,0.0265,0.0816,0.0112,0.1286,0,0.202,0.0296,0.0051,0.5845,25816,Morris,MN,1,0
Model College of Hair Design,www.modelcollegeofhairdesign.com/,NA,NA,NA,7139,108,0.4491,0.7778,0.1389,0.0648,0.0093,0.0093,0,0,0,0,NA,NA,Saint Cloud,MN,0,1
Minnesota State University Moorhead,https://www.mnstate.edu/,1090,0.5262,NA,20000,3120,0.2746,0.7798,0.0519,0.0494,0.0173,0.0112,0.001,0.0394,0.0452,0.0048,0.5902,24419,Moorhead,MN,1,1
North Hennepin Community College,https://www.nhcc.edu/,NA,NA,NA,14750,3299,0.2913,0.3331,0.3052,0.1055,0.16,0.003,0,0.057,0.0288,0.0073,NA,14293,Brooklyn Park,MN,1,1
Normandale Community College,www.normandale.edu/,NA,NA,NA,12000,6040,0.2762,0.3866,0.2768,0.1576,0.0901,0.0025,8e-4,0.0536,0.0134,0.0185,NA,17594,Bloomington,MN,1,1
North Central University,www.northcentral.edu/,NA,0.9082,NA,23200,802,0.4251,0.6247,0.1035,0.1421,0.0449,0.0012,0,0.0474,0.0125,0.0237,0.6009,42215,Minneapolis,MN,0,1
Northland Community and Technical College,www.northlandcollege.edu/,NA,NA,NA,12000,1382,0.2184,0.7438,0.0912,0.0796,0.0159,0.0166,7e-4,0.0318,0.0101,0.0101,NA,17893,Thief River Falls,MN,1,0
University of Northwestern-St Paul,https://www.unwsp.edu/,1244,0.9188,NA,21325,1495,0.1506,0.7906,0.0462,0.0602,0.0361,7e-4,0,0.0482,0.0127,0.0054,0.6743,48246,Saint Paul,MN,0,1
Northwestern Health Sciences University,www.nwhealth.edu/,NA,NA,NA,7500,251,0.1917,0.494,0.0757,0.0478,0.0558,0.008,0.004,0.0398,0.0319,0.243,NA,36501,Bloomington,MN,0,1
Oak Hills Christian College,www.oakhills.edu/,NA,NA,NA,20980,98,0.451,0.7653,0.0918,0.0102,0.0306,0.0714,0.0204,0.0102,0,0,0.1,31810,Bemidji,MN,0,0
Pine Technical & Community College,www.pine.edu/,NA,NA,NA,14392,569,0.1495,0.8313,0.0633,0.0422,0.0141,0.0088,0,0.0299,0,0.0105,NA,15534,Pine City,MN,1,0
Rochester Community and Technical College,www.rctc.edu/,NA,NA,NA,14743,3122,0.2892,0.6211,0.1611,0.0987,0.0503,0.0029,0,0.0455,0.0115,0.009,NA,17814,Rochester,MN,1,1
College of Saint Benedict,https://csbsju.edu/,1185,0.9136,32,26944,1392,0.1871,0.7938,0.028,0.0999,0.0323,0.0079,0.0036,0,0.0309,0.0036,0.7668,66878,Saint Joseph,MN,0,1
St Cloud Technical and Community College,www.sctcc.edu/,NA,NA,NA,12000,2808,0.352,0.6546,0.1952,0.0637,0.0164,0.0046,0.0011,0.0402,0.0064,0.0178,NA,15374,Saint Cloud,MN,1,1
Saint Cloud State University,https://www.stcloudstate.edu/,1091,0.9495,28,21058,5181,0.203,0.6093,0.1268,0.0554,0.0434,0.0025,4e-4,0.0373,0.1199,0.005,0.4758,21389,Saint Cloud,MN,1,1
Saint Johns University,https://csbsju.edu/,1220,0.9048,33,27000,1468,0.1806,0.7963,0.0443,0.077,0.0354,0.0068,0.0041,7e-4,0.0327,0.0027,0.7916,66863,Collegeville,MN,0,0
Saint Mary's University of Minnesota,www.smumn.edu/,NA,0.8881,NA,21500,1061,0.2209,0.5834,0.0763,0.115,0.0264,0.017,9e-4,0.0057,0.0226,0.1527,0.5704,54870,Winona,MN,0,0
St Olaf College,wp.stolaf.edu/,1373,0.5215,NA,26000,3049,0.2006,0.6671,0.0321,0.0931,0.0577,0.001,0,0.0453,0.0994,0.0043,0.8541,69200,Northfield,MN,0,0
Crown College,www.crown.edu/,NA,0.6281,NA,22500,789,0.2446,0.7186,0.0722,0.0913,0.0406,0.0076,0.0013,0.0317,0.0292,0.0076,0.589,44961,Saint Bonifacius,MN,0,0
The College of Saint Scholastica,www.css.edu/,1190,0.9378,NA,20000,1725,0.2322,0.7472,0.0452,0.0429,0.0249,0.011,0.0023,0.0441,0.0406,0.0417,0.6599,53069,Duluth,MN,0,1
University of St Thomas,www.stthomas.edu/,1296,0.8494,NA,23250,6014,0.1956,0.6573,0.0747,0.0963,0.056,0.002,7e-4,0.0442,0.0359,0.0329,0.7859,64684,Saint Paul,MN,0,1
Empire Beauty School-Bloomington,www.empire.edu/,NA,NA,NA,10231,157,0.5279,0.242,0.3312,0.2357,0.0191,0.0064,0,0.0701,0,0.0955,NA,NA,Bloomington,MN,0,1
St Catherine University,https://www.stkate.edu/,1190,0.9407,NA,24181,2393,0.3582,0.5002,0.1722,0.1333,0.1208,0.0038,0.0017,0.0393,0.005,0.0238,0.6131,58432,Saint Paul,MN,0,1
Rasmussen University-Minnesota,https://rasmussen.edu/,NA,NA,NA,20899,8033,0.5086,0.4413,0.2742,0.1165,0.0335,0.0108,0.0022,0.0159,1e-4,0.1053,NA,24056,St. Cloud,MN,0,1
Saint Paul College,https://www.saintpaul.edu/,NA,NA,NA,10925,3607,0.4047,0.257,0.3782,0.1001,0.1663,0.005,0.0011,0.0424,0.0369,0.013,NA,17977,Saint Paul,MN,1,1
Southwest Minnesota State University,www.smsu.edu/,1020,0.6894,NA,20500,2045,0.1081,0.7081,0.0792,0.0822,0.023,0.0049,0.0015,0.0333,0.0499,0.0181,0.4865,22399,Marshall,MN,1,0
Summit Academy Opportunities Industrialization Center,www.saoic.org/,NA,NA,NA,NA,270,0.4543,0.0889,0.5556,0.1296,0.0667,0.0148,0,0.1185,0,0.0259,NA,NA,Minneapolis,MN,0,1
Dunwoody College of Technology,www.dunwoody.edu/,1050,0.9847,NA,16000,1417,0.2929,0.6867,0.0769,0.0508,0.0656,0.0078,0.0021,0.0593,0.0042,0.0466,0.3333,34834,Minneapolis,MN,0,1
Ridgewater College,www.ridgewater.edu/,NA,NA,NA,12000,2048,0.3354,0.7612,0.0405,0.1377,0.0151,0.0054,0.001,0.0239,0.0029,0.0122,NA,16195,Willmar,MN,1,0
Minnesota State College Southeast,www.southeastmn.edu/,NA,NA,NA,12971,1198,0.2241,0.793,0.0651,0.0684,0.0209,0.005,0,0.0334,8e-4,0.0134,NA,20158,Winona,MN,1,0
Winona State University,www.winona.edu/,1119,0.6852,29,21500,5088,0.2349,0.8215,0.0305,0.0513,0.034,0.0026,6e-4,0.0377,0.0163,0.0055,0.6281,23373,Winona,MN,1,0
Century College,https://www.century.edu/,NA,NA,NA,14250,5971,0.3264,0.4678,0.1301,0.1105,0.2109,0.0044,7e-4,0.0472,0.0156,0.0129,NA,15084,White Bear Lake,MN,1,1
Alcorn State University,www.alcorn.edu/,1039,0.2466,NA,27000,2290,0.7742,0.0214,0.9585,0.0066,4e-4,0.0022,0.0039,0,0.007,0,0.4305,23937,Alcorn State,MS,1,0
Belhaven University,https://www.belhaven.edu/,1050,0.5325,NA,26333,1370,0.4454,0.3701,0.4409,0.0445,0.008,0.0109,7e-4,0.0518,0.0168,0.0562,0.5447,38359,Jackson,MS,0,1
Blue Mountain Christian University,www.bmc.edu/,1047,1,NA,18534,536,0.2623,0.666,0.1418,0.0858,0.0037,0.0131,0,0.0205,0.0578,0.0112,0.5818,32140,Blue Mountain,MS,0,0
Chris Beauty College,www.chrisbeautycollege.edu/,NA,NA,NA,NA,105,0.3333,0.581,0.3048,0.019,0.0571,0,0,0.0381,0,0,NA,NA,Gulfport,MS,0,1
Coahoma Community College,www.coahomacc.edu/,NA,NA,NA,NA,1314,0.5939,0.0388,0.9353,0.0046,0.003,0.0015,0,0.0107,0.0023,0.0038,NA,9071,Clarksdale,MS,1,0
Copiah-Lincoln Community College,www.colin.edu/,NA,NA,NA,7435,1948,0.3838,0.5277,0.4148,0.0277,0.0051,0.0031,5e-4,0.018,0,0.0031,NA,11844,Wesson,MS,1,0
Delta State University,https://www.deltastate.edu/,1091,0.9968,NA,20390,1613,0.4314,0.5239,0.3577,0.0248,0.0074,0.0012,0,0.0186,0.0465,0.0198,0.4455,22008,Cleveland,MS,1,0
East Central Community College,https://www.eccc.edu/,NA,NA,NA,5500,1584,0.4046,0.5284,0.2891,0.0562,0.0051,0.0682,0.0013,0.0278,0.012,0.012,NA,12692,Decatur,MS,1,0
East Mississippi Community College,www.eastms.edu/,NA,NA,NA,9006,2914,0.4549,0.4643,0.4657,0.0278,0.0096,0.0103,0,0.0031,0,0.0192,NA,10806,Scooba,MS,1,0
Fosters Cosmetology College,www.fosters.edu/,NA,NA,NA,NA,22,0.9322,0,1,0,0,0,0,0,0,0,NA,NA,Ripley,MS,0,0
Academy of Hair Design-Grenada,www.academyofhair.com/grenada-campus,NA,NA,NA,6786,33,0.7708,0.7576,0.2424,0,0,0,0,0,0,0,NA,NA,Grenada,MS,0,0
Hinds Community College,www.hindscc.edu/,NA,NA,NA,9371,6533,0.3822,0.2865,0.5832,0.0325,0.0058,0.004,6e-4,0.0305,0,0.0569,NA,9817,Raymond,MS,1,0
Holmes Community College,www.holmescc.edu/,NA,NA,NA,9274,3847,0.4222,0.4344,0.5077,0.0221,0.0062,0.0026,3e-4,0.025,0.001,8e-4,NA,12733,Goodman,MS,1,0
Itawamba Community College,www.iccms.edu/,NA,NA,NA,7631,4018,0.4553,0.6341,0.2899,0.0343,0.0067,0.0012,0,0.0306,0,0.003,NA,11557,Fulton,MS,1,0
Jackson State University,https://www.jsums.edu/,974,0.9103,NA,30470,4769,0.6838,0.0195,0.9486,0.0029,0.0013,0.004,0.0023,0.0061,0.0124,0.0029,0.4111,28611,Jackson,MS,1,1
Jones County Junior College,www.jcjc.edu/,NA,NA,NA,6291,3248,0.3769,0.6059,0.326,0.0212,0.0043,0.0037,0,0.0286,0.0089,0.0012,NA,14975,Ellisville,MS,1,0
Meridian Community College,www.meridiancc.edu/,NA,NA,NA,5521,2025,0.3996,0.4573,0.4617,0.0262,0.0074,0.0128,0.0015,0.0054,0,0.0277,NA,13402,Meridian,MS,1,0
Millsaps College,www.millsaps.edu/,NA,0.4903,NA,27000,580,0.3557,0.569,0.2724,0.0431,0.031,0.0086,0.0069,0.0103,0.0259,0.0328,0.6154,61025,Jackson,MS,0,1
Mississippi Delta Community College,https://www.msdelta.edu/,NA,NA,NA,NA,1490,0.486,0.2993,0.653,0.0188,0.004,0,7e-4,0,0,0.0242,NA,9270,Moorhead,MS,1,0
University of Mississippi,www.olemiss.edu/,1187,0.9778,NA,20000,18995,0.2241,0.7832,0.0974,0.0528,0.0202,0.0032,7e-4,0.0268,0.0109,0.0048,0.6964,27692,University,MS,1,0
Mississippi University for Women,https://www.muw.edu/,1050,1,NA,15000,1593,0.4159,0.5719,0.3848,0.0144,0.0082,0.0088,0.0019,0,0.01,0,0.4549,21808,Columbus,MS,1,0
Mississippi Valley State University,www.mvsu.edu/,910,0.5116,NA,28413,1326,0.5955,0.0234,0.8937,0.0158,0.0038,0.0023,0.0015,0.009,0,0.0505,0.2764,21606,Itta Bena,MS,1,0
Mississippi College,www.mc.edu/,1120,0.4887,NA,22500,2423,0.2617,0.6859,0.1841,0.0425,0.0256,0.0033,0,0.0235,0.0124,0.0227,0.629,39167,Clinton,MS,0,1
Hatfield's Mississippi College of Beauty Culture,hatfieldsinc.com/,NA,NA,NA,6500,51,0.6053,0.8431,0.1176,0.0392,0,0,0,0,0,0,NA,NA,Laurel,MS,0,0
Mississippi Gulf Coast Community College,https://www.mgccc.edu/,NA,NA,NA,10000,6231,0.4084,0.5296,0.252,0.0727,0.0228,0.0056,0.0011,0.0489,0,0.0672,NA,12908,Perkinston,MS,1,0
Mississippi State University,https://www.msstate.edu/,1220,0.7632,NA,22142,18092,0.2864,0.7406,0.1505,0.0421,0.0164,0.0048,4e-4,0.0266,0.012,0.0066,0.6132,26922,Mississippi State,MS,1,0
Northeast Mississippi Community College,https://www.nemcc.edu/,NA,NA,NA,9722,2640,0.5777,0.7239,0.2038,0.0398,0.0027,0.0023,8e-4,0.0269,0,0,NA,14779,Booneville,MS,1,0
Northwest Mississippi Community College,www.northwestms.edu/,NA,NA,NA,6500,5181,0.3256,0.5057,0.3847,0.0654,0.0112,8e-4,8e-4,0.0197,0,0.0118,NA,13156,Senatobia,MS,1,0
Pearl River Community College,www.prcc.edu/,NA,NA,NA,9750,4725,0.4747,0.6013,0.3327,0.0047,0.0061,0.0034,0,0,0,0.0519,NA,11607,Poplarville,MS,1,0
Rust College,www.rustcollege.edu/,NA,0.3469,NA,26159,428,0.6876,0.0023,0.9276,0.0047,0.0047,0.0047,0,0,0.0421,0.014,0.2468,18448,Holly Springs,MS,0,0
Southeastern Baptist College,https://www.southeasternbaptist.edu/,NA,NA,NA,NA,65,0.7054,0.6,0.3385,0.0308,0,0.0308,0,0,0,0,NA,10775,Laurel,MS,0,0
Southwest Mississippi Community College,https://www.smcc.edu/,NA,NA,NA,NA,1497,0.5525,0.485,0.4456,0.0194,0.0067,0.0013,0.0013,0.0167,7e-4,0.0234,NA,10933,Summit,MS,1,0
University of Southern Mississippi,https://www.usm.edu/,1120,0.9938,NA,22500,9899,0.4659,0.5726,0.2829,0.0471,0.0147,0.0041,7e-4,0.0409,0.0297,0.0073,0.5331,25482,Hattiesburg,MS,1,1
Tougaloo College,www.tougaloo.edu/,NA,0.5319,NA,30046,681,0.618,0.0044,0.8987,0.0191,0.0015,0.0029,0,0.0162,0.0015,0.0558,0.3506,22570,Tougaloo,MS,0,1
Vaughn Beauty College,vaughnbeauty.com/,NA,NA,NA,NA,60,0.4535,0.6333,0.35,0,0.0167,0,0,0,0,0,NA,NA,Aberdeen,MS,0,0
Wesley Biblical Seminary,https://www.wbs.edu/,NA,NA,NA,NA,27,NA,0.5185,0.2222,0.1481,0,0,0,0,0,0.1111,NA,NA,Ridgeland,MS,0,1
William Carey University,https://www.wmcarey.edu/,1120,0.5797,NA,20832,1818,0.2458,0.5974,0.28,0.0242,0.0094,0.0044,0,6e-4,0.0583,0.0259,0.607,30846,Hattiesburg,MS,0,1
Avila University,https://www.avila.edu/,942,0.5954,NA,25000,1192,0.4908,0.4329,0.281,0.1846,0.026,0.0109,0.0042,0.0201,0.021,0.0193,0.396,32863,Kansas City,MO,0,1
