INSTNM,UGDS,UGDS_MEN,UGDS_WOMEN,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN,PCTPELL
Mid Michigan College,2002,0.3626,0.6374,0.8147,0.0445,0.0559,0.0085,0.01,5e-4,0.045,0.0105,0.0105,0.3164
Monroe County Community College,1484,0.3976,0.6024,0.7224,0.0445,0.0492,0.0027,0.0054,0,0.0283,7e-4,0.1469,0.2531
Montcalm Community College,1040,0.3587,0.6413,0.7288,0.0087,0.0375,0.0048,0.0058,0.001,0.0144,0,0.199,0.2938
Muskegon Community College,2781,0.4092,0.5908,0.7253,0.0917,0.0939,0.0133,0.0054,0.0011,0.0485,0.0079,0.0129,0.2832
North Central Michigan College,897,0.3802,0.6198,0.8272,0.0323,0.019,0.0111,0.0457,0.0011,0.0379,0.0022,0.0234,0.3314
Northern Michigan University,6425,0.3941,0.6059,0.8523,0.0135,0.0439,0.0072,0.0139,2e-4,0.0364,0.0098,0.0229,0.2739
Northwestern Michigan College,2668,0.4805,0.5195,0.7845,0.0135,0.051,0.0139,0.0139,4e-4,0.0382,0.0019,0.0828,0.285
Northwood University,1900,0.6247,0.3753,0.6995,0.0842,0.0695,0.0132,0.0058,0.0016,0.03,0.02,0.0763,0.2469
Oakland Community College,11772,0.4435,0.5565,0.512,0.2109,0.0674,0.0293,0.0042,0.0016,0.0477,0.0601,0.0668,0.2741
Oakland University,12450,0.4268,0.5732,0.7006,0.0963,0.0538,0.0611,0.0019,0.001,0.0412,0.018,0.0261,0.2983
The University of Olivet,918,0.5806,0.4194,0.659,0.1667,0.0763,0.0065,0.0022,0.0011,0.0773,0.0011,0.0098,0.4174
Port Huron Cosmetology College,52,0,1,0.4038,0.4231,0.1154,0.0577,0,0,0,0,0,0.2152
Kuyper College,119,0.6134,0.3866,0.5126,0.2773,0.1008,0.0252,0,0,0.0336,0.0252,0.0252,0.3165
Ross Medical Education Center-Lansing,96,0.0313,0.9688,0.1146,0.1979,0.0313,0,0,0.0208,0.0625,0.0104,0.5625,0.8698
Ross Medical Education Center-Warren,153,0.0392,0.9608,0.0392,0.2876,0.0196,0.0131,0,0,0.0392,0.0065,0.5948,0.8462
Ross Medical Education Center-Flint,87,0.046,0.954,0.1034,0.1954,0.023,0,0,0,0.046,0.023,0.6092,0.8974
Sacred Heart Major Seminary,176,0.5114,0.4886,0.6534,0.0057,0.0852,0.0114,0.0625,0,0.0057,0,0.1761,0.0636
Saginaw Valley State University,6004,0.3691,0.6309,0.762,0.0819,0.0596,0.0117,0.0028,3e-4,0.0331,0.027,0.0215,0.3237
Schoolcraft Community College District,6626,0.425,0.575,0.5883,0.1748,0.0691,0.0423,0.0017,0.0012,0.0407,0.0275,0.0545,0.2719
Siena Heights University,1533,0.4514,0.5486,0.6406,0.1298,0.0907,0.017,0.0059,0.0013,0.0235,0,0.0913,0.309
St Clair County Community College,1955,0.3417,0.6583,0.823,0.0486,0.0445,0.0113,0.0246,5e-4,0.0097,0.001,0.0368,0.2498
Southwestern Michigan College,1396,0.3947,0.6053,0.6683,0.1533,0.0172,0.0136,0.01,0.0014,0.0695,0,0.0666,0.3824
Spring Arbor University,990,0.3707,0.6293,0.7111,0.0687,0.0626,0.0101,0.004,0.001,0.0293,0.0293,0.0838,0.2591
Michigan Career and Technical Institute,118,0.8305,0.1695,0.8305,0.0593,0.0339,0.0339,0,0,0.0424,0,0,0.3394
Twin City Beauty College,269,0.0335,0.9665,0.7175,0.0446,0.171,0.0149,0.0037,0,0.0446,0,0.0037,0.4035
Walsh College,535,0.5308,0.4692,0.7981,0.071,0.0187,0.0318,0.0056,0,0.0243,0.0187,0.0318,0.3114
Washtenaw Community College,7736,0.4515,0.5485,0.5915,0.179,0.0804,0.0315,0.0034,0.0012,0.0651,0.019,0.0288,0.2686
Wayne County Community College District,7848,0.355,0.645,0.171,0.6966,0.0166,0.0045,0.0022,0.0011,0.0429,0.0243,0.0408,0.2846
Wayne State University,15676,0.4069,0.5931,0.5396,0.1717,0.0773,0.1386,0.0024,4e-4,0.0405,0.0217,0.0078,0.4304
West Shore Community College,651,0.3625,0.6375,0.7926,0.0261,0.1198,0.0061,0.0108,0.0015,0.0292,0.0046,0.0092,0.3367
Paul Mitchell the School-Grand Rapids,84,0.0357,0.9643,0.8452,0.0357,0.0833,0.0119,0.0119,0.0119,0,0,0,0.415
Western Michigan University,12704,0.49370000000000003,0.5063,0.6917,0.0782,0.09,0.026,0.0036,5e-4,0.0424,0.0454,0.0223,0.2537
Academy College,112,0.875,0.125,0,0,0.0089,0.0089,0,0,0,0,0.9821,0.3243
Alexandria Technical & Community College,1438,0.5424,0.4576,0.8268,0.0216,0.0668,0.0035,0.0028,7e-4,0.0292,0.0014,0.0473,0.1557
Anoka Technical College,1522,0.4731,0.5269,0.6156,0.1708,0.0815,0.0644,0.0046,0.0013,0.0493,7e-4,0.0118,0.3285
Anoka-Ramsey Community College,3983,0.408,0.592,0.6164,0.1657,0.07,0.066,0.0033,0,0.0537,0.009,0.0158,0.1962
Augsburg University,2429,0.445,0.555,0.3289,0.2882,0.1449,0.107,0.0144,0.0016,0.0729,0.021,0.021,0.515
Riverland Community College,1895,0.4707,0.5293,0.6063,0.0818,0.1916,0.0438,0.0053,0.0011,0.0243,0.0164,0.0296,0.2649
Northwest Technical College,654,0.2936,0.7064,0.685,0.0994,0.0367,0.0107,0.0963,0,0.0581,0.0031,0.0107,0.3301
Bemidji State University,3120,0.4093,0.5907,0.7779,0.0314,0.0407,0.017,0.049,6e-4,0.0615,0.0173,0.0045,0.2628
Bethany Lutheran College,682,0.5015,0.4985,0.6598,0.0352,0.0601,0.0117,0.0015,0.0015,0.0381,0.1848,0.0073,0.221
Bethel University,2012,0.4294,0.5706,0.7599,0.0591,0.0726,0.0477,0.0025,5e-4,0.0348,0.0015,0.0214,0.1898
Central Lakes College-Brainerd,1486,0.4677,0.5323,0.8129,0.0686,0.0296,0.0074,0.0182,0,0.0485,0.0027,0.0121,0.1455
Carleton College,2019,0.4948,0.5052,0.5156,0.0684,0.0996,0.1045,0.001,5e-4,0.0896,0.0981,0.0228,0.1404
Concordia College at Moorhead,1721,0.4747,0.5253,0.7751,0.0418,0.0366,0.0291,0.0099,0.0012,0.018,0.0645,0.0238,0.1976
Concordia University-Saint Paul,2786,0.3281,0.6719,0.5162,0.1726,0.1159,0.107,0.0047,0.0032,0.0513,0.009,0.0201,0.3403
Dakota County Technical College,2083,0.5602,0.4398,0.6433,0.12,0.1186,0.0389,0.0067,0.001,0.0557,0.0024,0.0134,0.2713
Martin Luther College,718,0.4749,0.5251,0.922,0.0125,0.0111,0.0042,0.0014,0,0.0348,0.0139,0,0.2265
Lake Superior College,2456,0.4336,0.5664,0.8294,0.0277,0.0468,0.0138,0.0102,4e-4,0.0517,0.0106,0.0094,0.1925
Minnesota State Community and Technical College,2875,0.3969,0.6031,0.6831,0.1457,0.063,0.025,0.0167,7e-4,0.0511,0.0077,0.007,0.2518
Minnesota West Community and Technical College,1700,0.5835,0.4165,0.6941,0.0653,0.1459,0.0212,0.0088,6e-4,0.0265,0.0188,0.0188,0.1405
Gustavus Adolphus College,1930,0.4523,0.5477,0.7979,0.0233,0.0554,0.0249,0,5e-4,0.0451,0.044,0.0088,0.2138
Hamline University,1685,0.3632,0.6368,0.5614,0.1228,0.1318,0.0884,0.0059,6e-4,0.0546,0.0071,0.0273,0.3977
Hennepin Technical College,2827,0.6311,0.3689,0.4726,0.2398,0.099,0.1171,0.0042,0.0014,0.0488,0.006,0.011,0.2642
Minnesota North College,1942,0.5288,0.4712,0.7482,0.0767,0.0592,0.0046,0.0252,0.001,0.0587,0.0149,0.0113,0.3016
Aveda Arts & Sciences Institute Minneapolis,608,0.0526,0.9474,0.5954,0.1135,0.0855,0.0428,0.0148,0.0049,0.051,0,0.0921,0.2405
Inver Hills Community College,2203,0.3899,0.6101,0.4911,0.2079,0.1639,0.0676,0.0036,5e-4,0.0545,0.0027,0.0082,0.2327
Macalester College,2131,0.4228,0.5772,0.5171,0.0577,0.1131,0.0854,0.0019,0.0023,0.084,0.1328,0.0056,0.1733
South Central College,1890,0.4413,0.5587,0.6286,0.1365,0.1423,0.0127,0.0026,0,0.0317,0.0339,0.0116,0.3248
Minnesota State University-Mankato,11325,0.4539,0.5461,0.7189,0.06,0.0569,0.0331,0.0026,2e-4,0.0343,0.0887,0.0055,0.2048
Mayo Clinic College of Medicine and Science,296,0.2061,0.7939,0.7669,0.0743,0.0101,0.0541,0.0068,0.0034,0.0541,0.0101,0.0203,0.0075
Metropolitan State University,4998,0.4242,0.5758,0.3613,0.3159,0.0772,0.1667,0.0056,8e-4,0.0414,0.0238,0.0072,0.443
University of Minnesota-Twin Cities,30469,0.4604,0.5396,0.5921,0.0891,0.0599,0.1312,0.0035,4e-4,0.0499,0.0591,0.0148,0.1687
University of Minnesota-Crookston,1650,0.4145,0.5855,0.7061,0.0667,0.0661,0.0376,0.0109,0,0.0364,0.0467,0.0297,0.1919
Minneapolis College of Art and Design,701,0.3124,0.6876,0.6348,0.067,0.1084,0.0785,0.0128,0,0.0699,0.0114,0.0171,0.4017
Minneapolis Community and Technical College,4816,0.4381,0.5619,0.3171,0.3569,0.142,0.0509,0.0154,6e-4,0.0669,0.0264,0.0239,0.4033
Herzing University-Minneapolis,747,0.1071,0.8929,0.4137,0.3039,0.0656,0.1165,0.0013,0.0027,0.0295,0,0.0669,0.5186
Nova Academy of Cosmetology Woodbury,56,0.0179,0.9821,0.5536,0.0714,0.1607,0.0893,0.0179,0,0.1071,0,0,0.4758
University of Minnesota-Duluth,7475,0.511,0.489,0.8385,0.0225,0.0393,0.0302,0.0063,3e-4,0.0403,0.0108,0.0118,0.1824
University of Minnesota-Morris,980,0.4612,0.5388,0.5153,0.0265,0.0816,0.0112,0.1286,0,0.202,0.0296,0.0051,0.3081
Model College of Hair Design,108,0.0093,0.9907,0.7778,0.1389,0.0648,0.0093,0.0093,0,0,0,0,0.4491
Minnesota State University Moorhead,3120,0.3651,0.6349,0.7798,0.0519,0.0494,0.0173,0.0112,0.001,0.0394,0.0452,0.0048,0.2746
North Hennepin Community College,3299,0.3962,0.6038,0.3331,0.3052,0.1055,0.16,0.003,0,0.057,0.0288,0.0073,0.2913
Normandale Community College,6040,0.4432,0.5568,0.3866,0.2768,0.1576,0.0901,0.0025,8e-4,0.0536,0.0134,0.0185,0.2762
North Central University,802,0.4813,0.5187,0.6247,0.1035,0.1421,0.0449,0.0012,0,0.0474,0.0125,0.0237,0.4251
Northland Community and Technical College,1382,0.4103,0.5897,0.7438,0.0912,0.0796,0.0159,0.0166,7e-4,0.0318,0.0101,0.0101,0.2184
University of Northwestern-St Paul,1495,0.4435,0.5565,0.7906,0.0462,0.0602,0.0361,7e-4,0,0.0482,0.0127,0.0054,0.1506
Northwestern Health Sciences University,251,0.2629,0.7371,0.494,0.0757,0.0478,0.0558,0.008,0.004,0.0398,0.0319,0.243,0.1917
Oak Hills Christian College,98,0.551,0.449,0.7653,0.0918,0.0102,0.0306,0.0714,0.0204,0.0102,0,0,0.451
Pine Technical & Community College,569,0.4271,0.5729,0.8313,0.0633,0.0422,0.0141,0.0088,0,0.0299,0,0.0105,0.1495
Rochester Community and Technical College,3122,0.3773,0.6227,0.6211,0.1611,0.0987,0.0503,0.0029,0,0.0455,0.0115,0.009,0.2892
College of Saint Benedict,1392,0,1,0.7938,0.028,0.0999,0.0323,0.0079,0.0036,0,0.0309,0.0036,0.1871
St Cloud Technical and Community College,2808,0.3878,0.6122,0.6546,0.1952,0.0637,0.0164,0.0046,0.0011,0.0402,0.0064,0.0178,0.352
Saint Cloud State University,5181,0.4717,0.5283,0.6093,0.1268,0.0554,0.0434,0.0025,4e-4,0.0373,0.1199,0.005,0.203
Saint Johns University,1468,1,0,0.7963,0.0443,0.077,0.0354,0.0068,0.0041,7e-4,0.0327,0.0027,0.1806
Saint Mary's University of Minnesota,1061,0.4364,0.5636,0.5834,0.0763,0.115,0.0264,0.017,9e-4,0.0057,0.0226,0.1527,0.2209
St Olaf College,3049,0.4221,0.5779,0.6671,0.0321,0.0931,0.0577,0.001,0,0.0453,0.0994,0.0043,0.2006
Crown College,789,0.512,0.488,0.7186,0.0722,0.0913,0.0406,0.0076,0.0013,0.0317,0.0292,0.0076,0.2446
The College of Saint Scholastica,1725,0.3432,0.6568,0.7472,0.0452,0.0429,0.0249,0.011,0.0023,0.0441,0.0406,0.0417,0.2322
University of St Thomas,6014,0.5098,0.4902,0.6573,0.0747,0.0963,0.056,0.002,7e-4,0.0442,0.0359,0.0329,0.1956
Empire Beauty School-Bloomington,157,0.0191,0.9809,0.242,0.3312,0.2357,0.0191,0.0064,0,0.0701,0,0.0955,0.5279
St Catherine University,2393,0.0447,0.9553,0.5002,0.1722,0.1333,0.1208,0.0038,0.0017,0.0393,0.005,0.0238,0.3582
Rasmussen University-Minnesota,8033,0.144,0.856,0.4413,0.2742,0.1165,0.0335,0.0108,0.0022,0.0159,1e-4,0.1053,0.5086
Saint Paul College,3607,0.4419,0.5581,0.257,0.3782,0.1001,0.1663,0.005,0.0011,0.0424,0.0369,0.013,0.4047
Southwest Minnesota State University,2045,0.3355,0.6645,0.7081,0.0792,0.0822,0.023,0.0049,0.0015,0.0333,0.0499,0.0181,0.1081
Summit Academy Opportunities Industrialization Center,270,0.6963,0.3037,0.0889,0.5556,0.1296,0.0667,0.0148,0,0.1185,0,0.0259,0.4543
Dunwoody College of Technology,1417,0.7911,0.2089,0.6867,0.0769,0.0508,0.0656,0.0078,0.0021,0.0593,0.0042,0.0466,0.2929
Ridgewater College,2048,0.376,0.624,0.7612,0.0405,0.1377,0.0151,0.0054,0.001,0.0239,0.0029,0.0122,0.3354
Minnesota State College Southeast,1198,0.4558,0.5442,0.793,0.0651,0.0684,0.0209,0.005,0,0.0334,8e-4,0.0134,0.2241
Winona State University,5088,0.3164,0.6836,0.8215,0.0305,0.0513,0.034,0.0026,6e-4,0.0377,0.0163,0.0055,0.2349
Century College,5971,0.4405,0.5595,0.4678,0.1301,0.1105,0.2109,0.0044,7e-4,0.0472,0.0156,0.0129,0.3264
Alcorn State University,2290,0.3367,0.6633,0.0214,0.9585,0.0066,4e-4,0.0022,0.0039,0,0.007,0,0.7742
Belhaven University,1370,0.3686,0.6314,0.3701,0.4409,0.0445,0.008,0.0109,7e-4,0.0518,0.0168,0.0562,0.4454
Blue Mountain Christian University,536,0.472,0.528,0.666,0.1418,0.0858,0.0037,0.0131,0,0.0205,0.0578,0.0112,0.2623
Chris Beauty College,105,0.2762,0.7238,0.581,0.3048,0.019,0.0571,0,0,0.0381,0,0,0.3333
Coahoma Community College,1314,0.4125,0.5875,0.0388,0.9353,0.0046,0.003,0.0015,0,0.0107,0.0023,0.0038,0.5939
Copiah-Lincoln Community College,1948,0.4004,0.5996,0.5277,0.4148,0.0277,0.0051,0.0031,5e-4,0.018,0,0.0031,0.3838
Delta State University,1613,0.4389,0.5611,0.5239,0.3577,0.0248,0.0074,0.0012,0,0.0186,0.0465,0.0198,0.4314
East Central Community College,1584,0.3971,0.6029,0.5284,0.2891,0.0562,0.0051,0.0682,0.0013,0.0278,0.012,0.012,0.4046
East Mississippi Community College,2914,0.4272,0.5728,0.4643,0.4657,0.0278,0.0096,0.0103,0,0.0031,0,0.0192,0.4549
Fosters Cosmetology College,22,0.6818,0.3182,0,1,0,0,0,0,0,0,0,0.9322
Academy of Hair Design-Grenada,33,0.0303,0.9697,0.7576,0.2424,0,0,0,0,0,0,0,0.7708
Hinds Community College,6533,0.39,0.61,0.2865,0.5832,0.0325,0.0058,0.004,6e-4,0.0305,0,0.0569,0.3822
Holmes Community College,3847,0.3234,0.6766,0.4344,0.5077,0.0221,0.0062,0.0026,3e-4,0.025,0.001,8e-4,0.4222
Itawamba Community College,4018,0.3795,0.6205,0.6341,0.2899,0.0343,0.0067,0.0012,0,0.0306,0,0.003,0.4553
Jackson State University,4769,0.3638,0.6362,0.0195,0.9486,0.0029,0.0013,0.004,0.0023,0.0061,0.0124,0.0029,0.6838
Jones County Junior College,3248,0.3818,0.6182,0.6059,0.326,0.0212,0.0043,0.0037,0,0.0286,0.0089,0.0012,0.3769
Meridian Community College,2025,0.2993,0.7007,0.4573,0.4617,0.0262,0.0074,0.0128,0.0015,0.0054,0,0.0277,0.3996
Millsaps College,580,0.5379,0.4621,0.569,0.2724,0.0431,0.031,0.0086,0.0069,0.0103,0.0259,0.0328,0.3557
Mississippi Delta Community College,1490,0.3805,0.6195,0.2993,0.653,0.0188,0.004,0,7e-4,0,0,0.0242,0.486
University of Mississippi,18995,0.43,0.57,0.7832,0.0974,0.0528,0.0202,0.0032,7e-4,0.0268,0.0109,0.0048,0.2241
Mississippi University for Women,1593,0.1915,0.8085,0.5719,0.3848,0.0144,0.0082,0.0088,0.0019,0,0.01,0,0.4159
Mississippi Valley State University,1326,0.4977,0.5023,0.0234,0.8937,0.0158,0.0038,0.0023,0.0015,0.009,0,0.0505,0.5955
Mississippi College,2423,0.4139,0.5861,0.6859,0.1841,0.0425,0.0256,0.0033,0,0.0235,0.0124,0.0227,0.2617
Hatfield's Mississippi College of Beauty Culture,51,0,1,0.8431,0.1176,0.0392,0,0,0,0,0,0,0.6053
Mississippi Gulf Coast Community College,6231,0.3771,0.6229,0.5296,0.252,0.0727,0.0228,0.0056,0.0011,0.0489,0,0.0672,0.4084
Mississippi State University,18092,0.4898,0.5102,0.7406,0.1505,0.0421,0.0164,0.0048,4e-4,0.0266,0.012,0.0066,0.2864
Northeast Mississippi Community College,2640,0.3795,0.6205,0.7239,0.2038,0.0398,0.0027,0.0023,8e-4,0.0269,0,0,0.5777
Northwest Mississippi Community College,5181,0.3762,0.6238,0.5057,0.3847,0.0654,0.0112,8e-4,8e-4,0.0197,0,0.0118,0.3256
Pearl River Community College,4725,0.3295,0.6705,0.6013,0.3327,0.0047,0.0061,0.0034,0,0,0,0.0519,0.4747
Rust College,428,0.4953,0.5047,0.0023,0.9276,0.0047,0.0047,0.0047,0,0,0.0421,0.014,0.6876
Southeastern Baptist College,65,0.8,0.2,0.6,0.3385,0.0308,0,0.0308,0,0,0,0,0.7054
Southwest Mississippi Community College,1497,0.3988,0.6012,0.485,0.4456,0.0194,0.0067,0.0013,0.0013,0.0167,7e-4,0.0234,0.5525
University of Southern Mississippi,9899,0.3621,0.6379,0.5726,0.2829,0.0471,0.0147,0.0041,7e-4,0.0409,0.0297,0.0073,0.4659
Tougaloo College,681,0.4112,0.5888,0.0044,0.8987,0.0191,0.0015,0.0029,0,0.0162,0.0015,0.0558,0.618
Vaughn Beauty College,60,0.0333,0.9667,0.6333,0.35,0,0.0167,0,0,0,0,0,0.4535
Wesley Biblical Seminary,27,0.6296,0.3704,0.5185,0.2222,0.1481,0,0,0,0,0,0.1111,NA
William Carey University,1818,0.3284,0.6716,0.5974,0.28,0.0242,0.0094,0.0044,0,6e-4,0.0583,0.0259,0.2458
Avila University,1192,0.3767,0.6233,0.4329,0.281,0.1846,0.026,0.0109,0.0042,0.0201,0.021,0.0193,0.4908
Mission University,342,0.6462,0.3538,0.8099,0.0673,0.0614,0.0088,0.0263,0,0.0263,0,0,0.4891
House of Heavilin Beauty College-Blue Springs,120,0.0167,0.9833,0.4917,0.375,0.0917,0.025,0,0,0.0167,0,0,0.4348
Cox College,634,0.1278,0.8722,0.8297,0.0158,0.0552,0.0126,0.0079,0,0.0363,0,0.0426,0.3491
Calvary University,170,0.4412,0.5588,0.7647,0.0529,0.1118,0.0176,0,0.0059,0.0353,0.0059,0.0059,0.3584
Cape Girardeau Career and Technology Center,212,0.3255,0.6745,0.7877,0.1557,0.0142,0.0047,0.0047,0,0.033,0,0,0.3777
Central Christian College of the Bible,145,0.6414,0.3586,0.6483,0.1379,0.0552,0.0276,0,0,0.0207,0,0.1103,0.5316
Central Methodist University-College of Liberal Arts and Sciences,1015,0.4571,0.5429,0.6384,0.1163,0.0837,0.0089,0.0049,0,0.0512,0.0808,0.0158,0.3698
University of Central Missouri,5653,0.4674,0.5326,0.7569,0.0869,0.069,0.0119,0.0042,0.0012,0.0474,0.0175,0.005,0.2565
Grand River Technical School,39,0.7692,0.2308,0.9487,0,0.0256,0,0,0,0.0256,0,0,0.3766
Cleveland University-Kansas City,79,0.3165,0.6835,0.481,0.0253,0.1139,0.0127,0,0,0.3418,0,0.0253,0.5667
Columbia College,5359,0.4103,0.5897,0.5288,0.2131,0.1161,0.0203,0.0043,0.0058,0.064,0.0308,0.0168,0.4412
Conception Seminary College,32,1,0,0.5313,0.0938,0.3438,0.0313,0,0,0,0,0,0.1154
Cottey College,266,0,1,0.7293,0.0677,0.1053,0.015,0.0226,0.0038,0.015,0.0414,0,0.4534
Crowder College,2622,0.3806,0.6194,0.7002,0.0172,0.1522,0.016,0.0183,0.0076,0.0534,0.0153,0.0198,0.3463
Culver-Stockton College,884,0.5509,0.4491,0.6799,0.155,0.069,0.0068,0.0124,0.0057,0.0396,0.0317,0,0.3578
Drury University,1367,0.4755,0.5245,0.73740000000000006,0.0315,0.03,0.0205,0.0139,0.0015,0.0351,0.0797,0.0505,0.272
East Central College,1719,0.381,0.619,0.879,0.0111,0.0413,0.0058,0.0047,0.0017,0.0396,0.014,0.0029,0.3306
Pinnacle Career Institute,488,0.9406,0.0594,0.5143,0.2152,0.1619,0.0082,0.0369,0.002,0.0512,0,0.0102,0.688
Evangel University,1205,0.4963,0.5037,0.7502,0.0481,0.0523,0.0183,0.0124,0,0.0573,0.0349,0.0266,0.3612
Fontbonne University,632,0.4984,0.5016,0.606,0.2769,0.0142,0.0206,0.0063,0.0016,0.0522,0.0063,0.0158,0.4795
Four Rivers Career Center,24,0.0833,0.9167,0.9167,0,0,0,0,0,0.0833,0,0,0.6207
Ozarks Technical Community College,8194,0.418,0.582,0.7966,0.0314,0.0779,0.0165,0.0057,0.0026,0.0607,0,0.0088,0.3711
Hannibal-LaGrange University,381,0.5144,0.4856,0.6824,0.1024,0.0709,0.0105,0,0,0.0236,0.0341,0.0761,0.2935
Harris-Stowe State University,1086,0.2974,0.7026,0.0258,0.826,0.0193,0.0018,0,9e-4,0.0405,0.0479,0.0378,0.7288
House of Heavilin Beauty College-Kansas City,60,0.0167,0.9833,0.1,0.8667,0,0,0,0,0.0333,0,0,0.8091
Summit Salon Academy Kansas City,108,0,1,0.5185,0.2593,0.1389,0,0,0,0.0648,0,0.0185,0.5892
Jefferson College,2514,0.4045,0.5955,0.8823,0.0255,0.0346,0.0167,0.004,0.0012,0.0298,0.006,0,0.2951
Paul Mitchell the School-Missouri Columbia,149,0.094,0.906,0.7651,0.1275,0.0336,0.0134,0.0067,0,0.0537,0,0,0.5419
Barnes-Jewish College Goldfarb School of Nursing,426,0.1033,0.8967,0.6502,0.2019,0.0023,0.0376,0.0047,0,0.0423,0.0117,0.0493,0.2458
Kansas City Art Institute,782,0.2084,0.7916,0.6164,0.0806,0.1471,0.0358,0.0038,0,0.0831,0.0128,0.0205,0.4173
Lex La-Ray Technical Center,22,0.0455,0.9545,0.8182,0.1818,0,0,0,0,0,0,0,0.6
Lincoln University,1357,0.3979,0.6021,0.2837,0.5321,0.0361,0.0066,0.0037,7e-4,0.0413,0.0685,0.0273,0.463
Lindenwood University,4748,0.4187,0.5813,0.6365,0.135,0.0459,0.0177,0.0038,0.0061,0.0505,0.0701,0.0343,0.2889
State Technical College of Missouri,2023,0.829,0.171,0.9244,0.0133,0.0054,0.0049,0.0158,5e-4,0.0163,0,0.0193,0.2987
Logan University,258,0.3023,0.6977,0.655,0.1512,0.0349,0.0465,0.0078,0.0078,0.0504,0,0.0465,0.4
Metropolitan Community College-Kansas City,10412,0.4091,0.5909,0.5558,0.1626,0.15,0.0288,0.002,0.0029,0.0663,0.0083,0.0233,0.304
Maryville University of Saint Louis,5988,0.3145,0.6855,0.6475,0.1281,0.0877,0.0336,0.0042,0,0.0379,0.0276,0.0336,0.3555
Missouri College of Cosmetology and Esthetics,88,0.0341,0.9659,0.8182,0.1136,0.0114,0,0,0,0.0227,0,0.0341,0.5581
Midwest Institute,151,0.0795,0.9205,0.5762,0.3179,0.0331,0,0,0,0.0132,0,0.0596,0.4167
Midwestern Baptist Theological Seminary,791,0.641,0.359,0.756,0.0392,0.0746,0.0329,0.0076,0.0038,0.024,0.0152,0.0468,0.3092
Mineral Area College,1530,0.3824,0.6176,0.8471,0.0275,0.0314,0.0052,0.0033,0,0.0229,0.0412,0.0216,0.308
Missouri Baptist University,1452,0.4573,0.5427,0.7328,0.1391,0.0041,0.011,0.0083,7e-4,0.0289,0.0441,0.031,0.1271
Missouri Southern State University,3101,0.3918,0.6082,0.6933,0.0651,0.0932,0.0281,0.0445,0.0058,0.0148,0.0326,0.0226,0.3497
Missouri Valley College,1274,0.6358,0.3642,0.3603,0.1484,0.1075,0.0063,0.0031,0.0157,0.0392,0.2991,0.0204,0.2991
Missouri Western State University,2372,0.3938,0.6062,0.675,0.1395,0.0169,0.0177,0.0118,0.0021,0.0805,0.0126,0.0438,0.2817
University of Missouri-Columbia,23118,0.4529,0.5471,0.7973,0.0508,0.0574,0.0278,0.0014,0.001,0.0439,0.0104,0.01,0.201
University of Missouri-Kansas City,6618,0.3968,0.6032,0.4799,0.1369,0.1618,0.1082,0.0038,0.0012,0.0532,0.0429,0.0121,0.2498
Missouri University of Science and Technology,5467,0.7717,0.2283,0.7483,0.032,0.0556,0.0441,0.0038,2e-4,0.028,0.0256,0.0624,0.2075
University of Missouri-St Louis,5108,0.455,0.545,0.6085,0.1854,0.0409,0.0501,0.0031,8e-4,0.0401,0.0166,0.0544,0.1785
Moberly Area Community College,2928,0.3839,0.6161,0.7367,0.1093,0.0584,0.0195,0.0027,0.0014,0.0458,0.0034,0.0229,0.2187
Neosho Beauty College,62,0.0806,0.9194,0.871,0.0323,0.0806,0.0161,0,0,0,0,0,0.5698
Truman State University,2666,0.4059,0.5941,0.7881,0.0203,0.0345,0.0206,0.0019,8e-4,0.0311,0.0923,0.0105,0.153
Northwest Missouri State University,4550,0.3897,0.6103,0.8154,0.0426,0.0521,0.0051,0.0046,0.0011,0.0341,0.0251,0.02,0.2732
Ozark Christian College,612,0.531,0.469,0.8317,0.0163,0.0556,0.0131,0.0196,0.0016,0.0392,0.0131,0.0098,0.3849
College of the Ozarks,1415,0.4389,0.5611,0.8678,0.0141,0.0473,0.012,0.0071,0,0.0269,0.0155,0.0092,0.4364
Park University,5250,0.5432,0.4568,0.4141,0.179,0.2339,0.029,0.0046,0.0091,0.0741,0.0392,0.017,0.3863
Stevens-The Institute of Business & Arts,95,0.1789,0.8211,0.3368,0.6105,0.0211,0.0211,0,0,0,0.0105,0,0.7614
Poplar Bluff Technical Career Center,14,0.2143,0.7857,0.8571,0.0714,0.0714,0,0,0,0,0,0,0.7714
Ranken Technical College,1695,0.9062,0.0938,0.636,0.2077,0.0407,0.0183,0.0077,0.0018,0.0236,6e-4,0.0637,0.4171
Research College of Nursing,249,0.1406,0.8594,0.6867,0.1245,0.0321,0.0442,0,0,0.0281,0,0.0843,0.1762
Rockhurst University,1702,0.3719,0.6281,0.6157,0.0905,0.1698,0.0358,0.0041,0.0012,0.0388,0.03,0.0141,0.1933
Saint Louis University,7324,0.4001,0.5999,0.5666,0.0953,0.0875,0.1427,0.001,5e-4,0.055,0.044,0.0074,0.1537
Salem College of Hairstyling,32,0.0313,0.9688,0.9063,0.0625,0.0313,0,0,0,0,0,0,0.5192
University of Health Sciences and Pharmacy in St. Louis,274,0.4343,0.5657,0.6277,0.135,0.0146,0.0949,0.0036,0.0073,0.0219,0.0511,0.0438,0.2879
