INSTNM,UGDS,UGDS_MEN,UGDS_WOMEN,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN,PCTPELL
Shelton State Community College,3191,0.408,0.592,0.5099,0.3867,0.0505,0.0063,0.0028,9e-4,0.0342,0.0075,0.0013,0.3987
Snead State Community College,1494,0.3588,0.6412,0.6426,0.0763,0.2242,0.0067,0.004,0.0013,0.0388,0.0047,0.0013,0.3359
University of South Alabama,8540,0.3823,0.6177,0.6091,0.2203,0.0521,0.0398,0.006,0.0013,0.0451,0.0112,0.0151,0.3713
Spring Hill College,850,0.4482,0.5518,0.5718,0.1341,0.0965,0.0129,0.0082,0,0.0188,0.1035,0.0541,0.3301
Stillman College,761,0.4455,0.5545,0.0749,0.8581,0.0053,0.0013,0,0,0,0.0355,0.025,0.682
Talladega College,782,0.5627,0.4373,0.0499,0.7788,0.0844,0.0013,0.0038,0.0013,0.0141,0,0.0665,0.7551
H Councill Trenholm State Community College,1584,0.3535,0.6465,0.1843,0.7178,0.0499,0.0095,0.0025,6e-4,0.0303,0.0044,6e-4,0.5519
Troy University,10089,0.3573,0.6427,0.5305,0.3195,0.0474,0.0076,0.0028,0.0013,0.0426,0.0261,0.0223,0.423
Tuskegee University,2367,0.3629,0.6371,0.0072,0.9248,0.0017,0.003,0.0025,4e-4,0.0351,0,0.0253,0.4767
United States Sports Academy,136,0.875,0.125,0.3456,0.2794,0.1324,0,0.0147,0,0.0147,0.0074,0.2059,0.3478
Bevill State Community College,2189,0.3591,0.6409,0.7437,0.1759,0.0306,0.0046,0.0023,0.0014,0.0402,0,0.0014,0.3027
University of Alaska Anchorage,6916,0.4037,0.5963,0.4863,0.0369,0.1134,0.1252,0.0535,0.0068,0.1163,0.0182,0.0435,0.191
Alaska Bible College,34,0.5588,0.4412,0.8529,0.0294,0.0294,0,0,0,0.0882,0,0,0.4872
University of Alaska Fairbanks,4027,0.3919,0.6081,0.5309,0.0335,0.0976,0.0313,0.1331,0.006,0.1065,0.0112,0.0499,0.2237
University of Alaska Southeast,920,0.3185,0.6815,0.538,0.0109,0.0946,0.0641,0.1065,0.0033,0.1424,0.0076,0.0326,0.1398
Alaska Pacific University,400,0.275,0.725,0.3325,0.0275,0.09,0.07,0.2325,0.015,0.115,0.0075,0.11,0.3442
Alaska Vocational Technical Center,452,0.7876,0.2124,0.4978,0.0155,0.0288,0.0088,0.2478,0.0066,0.0752,0,0.1195,0.0602
Charter College,2277,0.2894,0.7106,0.3808,0.0839,0.2306,0.0413,0.0979,0.0347,0.0913,0.0114,0.0281,0.5579
Alaska Career College,255,0.1294,0.8706,0.251,0.102,0.0824,0.149,0.2549,0.0392,0.1137,0,0.0078,0.581
Empire Beauty School-Tucson,213,0.0376,0.9624,0.3099,0.0469,0.5023,0.0188,0.0188,0,0.0986,0,0.0047,0.4952
Carrington College-Phoenix North,1087,0.2797,0.7203,0.1536,0.0791,0.5667,0.023,0.0524,0.0018,0.0092,0.0055,0.1086,0.5536
Carrington College-Mesa,492,0.2724,0.7276,0.2602,0.0833,0.4451,0.0183,0.0589,0.0041,0.0061,0.0041,0.1199,0.5402
Carrington College-Tucson,437,0.357,0.643,0.1396,0.0664,0.6979,0.0229,0.0229,0.0069,0.0137,0,0.0297,0.6093
Arizona Academy of Beauty,49,0.0408,0.9592,0.2449,0.1224,0.4898,0.0204,0,0,0.1224,0,0,0.6719
Miller-Motte College-Arizona Automotive Institute,513,0.8538,0.1462,0.2671,0.0955,0.4503,0.0019,0.117,0.0039,0.0624,0,0.0019,0.7302
Brookline College-Phoenix,714,0.1134,0.8866,0.1919,0.1218,0.3291,0.0224,0.063,0.0056,0.0084,0.0028,0.2549,0.5823
Arizona State University Campus Immersion,64398,0.5155,0.4845,0.435,0.0425,0.2603,0.0908,0.0104,0.002,0.0498,0.0762,0.033,0.2966
Arizona Western College,6198,0.3969,0.6031,0.1118,0.0123,0.738,0.0087,0.0108,6e-4,0.0153,0.0176,0.0849,0.3918
University of Arizona,40769,0.4429,0.5571,0.4721,0.0431,0.2762,0.0495,0.0151,0.0022,0.0498,0.0453,0.0466,0.2624
Central Arizona College,4892,0.3741,0.6259,0.3136,0.0542,0.4231,0.0168,0.0219,0.0057,0.0243,0.0168,0.1237,0.2874
Charles of Italy Beauty College,88,0.0114,0.9886,0.4432,0.0227,0.2159,0.0227,0.0227,0.0114,0,0,0.2614,0.5802
Cochise County Community College District,3007,0.4569,0.5431,0.3389,0.0452,0.5101,0.0153,0.0057,0.004,0.0442,0.0269,0.0096,0.3858
Empire Beauty School-Chandler,98,0.0612,0.9388,0.102,0.1735,0.2959,0.0204,0.051,0,0.0408,0,0.3163,0.5932
Avalon Institute-Mesa,388,0.0284,0.9716,0.4021,0.1134,0.3711,0.0206,0.0155,0,0.0412,0,0.0361,0.5676
Eastern Arizona College,3058,0.4192,0.5808,0.5948,0.0249,0.2263,0.0082,0.068,0.0049,0.0131,0.019,0.0409,0.1721
Embry-Riddle Aeronautical University-Prescott,3245,0.7193,0.2807,0.5569,0.0206,0.1569,0.0666,0.0055,0.0052,0.0801,0.0851,0.0231,0.174
Glendale Community College,10180,0.4381,0.5619,0.3394,0.0659,0.4528,0.0455,0.0128,0.0016,0.0485,0.0127,0.0208,0.2614
Grand Canyon University,68619,0.3015,0.6985,0.4773,0.158,0.2424,0.0284,0.0088,0.0059,0.0471,0.0095,0.0225,0.4308
GateWay Community College,3473,0.2966,0.7034,0.2525,0.1109,0.5189,0.0348,0.0233,0.0029,0.0403,0.0035,0.013,0.2862
Mesa Community College,12049,0.4666,0.5334,0.4161,0.0622,0.3601,0.04,0.0331,0.0036,0.0502,0.0179,0.0168,0.2006
Mohave Community College,2750,0.2865,0.7135,0.6022,0.0171,0.2873,0.0142,0.0138,0.004,0.0469,0,0.0145,0.3093
Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division,567,0.9259,0.0741,0.5732,0.0459,0.1499,0.0088,0.0229,0.0035,0.1411,0.0018,0.0529,0.392
Dine College,1507,0.2687,0.7313,0.0033,0.0013,0,0.0013,0.9907,0,7e-4,0.0027,0,0.3895
Northern Arizona University,23041,0.365,0.635,0.5443,0.0292,0.265,0.0383,0.0347,0.0023,0.0561,0.0191,0.0111,0.2983
Northland Pioneer College,1024,0.2979,0.7021,0.3408,0.001,0.1553,0.0127,0.3428,0.002,0.0195,0,0.126,0.1369
