INSTNM,INSTURL,SAT_AVG,ADM_RATE,IS_PUBLIC,IS_CITY
Roberto-Venn School of Luthiery,www.roberto-venn.com/,NA,NA,0,1
Scottsdale Community College,www.scottsdalecc.edu/,NA,NA,1,0
South Mountain Community College,www.southmountaincc.edu/,NA,NA,1,1
Arizona Christian University,arizonachristian.edu/,NA,0.7442,0,1
Universal Technical Institute of Arizona Inc,www.uti.edu/,NA,NA,0,1
Yavapai College,https://www.yc.edu/,NA,NA,1,1
University of Arkansas at Little Rock,ualr.edu/www/,1049,0.5774,1,1
University of Arkansas for Medical Sciences,https://www.uams.edu/,NA,NA,1,1
Arkansas Baptist College,https://www.arkansasbaptist.edu/,NA,NA,0,1
Arkansas Beauty School-Little Rock,arbs.edu/,NA,NA,0,1
Arkansas Beauty College,https://www.arkansasbeautycollege.us/,NA,NA,0,0
Lyon College,www.lyon.edu/,NA,0.6554,0,0
Arkansas Technical School,www.arktech.edu/,NA,NA,0,1
University of Arkansas,https://www.uark.edu/,1174,0.7167,1,1
University of Arkansas at Pine Bluff,www.uapb.edu/,916,0.5754,1,0
Arkansas State University-Beebe,www.asub.edu/,NA,NA,1,0
Arkansas State University,www.astate.edu/,1119,0.6967,1,1
Arkansas Tech University,https://www.atu.edu/,1050,0.9629,1,0
University of Arkansas at Monticello,www.uamont.edu/,NA,NA,1,0
Arthur's Beauty College,arthursbeautycollege.com/,NA,NA,0,1
Baptist Health College Little Rock,https://www.bhclr.edu/,980,1,0,1
Black River Technical College,www.blackrivertech.edu/,NA,NA,1,0
University of Central Arkansas,www.uca.edu/,1117,0.9047,1,1
Central Baptist College,www.cbc.edu/,1022,0.4636,0,1
Cossatot Community College of the University of Arkansas,www.cccua.edu/,NA,NA,1,0
Crowley's Ridge College,www.crc.edu/,NA,NA,0,0
East Arkansas Community College,https://www.eacc.edu/,NA,NA,1,0
Paul Mitchell the School-Little Rock,paulmitchell.edu/littlerock,NA,NA,0,1
National Park College,www.np.edu/,NA,NA,1,1
University of Arkansas Community College-Batesville,www.uaccb.edu/,NA,NA,1,0
Harding University,www.harding.edu/,1187,1,0,0
Henderson State University,https://www.hsu.edu/,NA,0.8192,1,0
Hendrix College,https://www.hendrix.edu/,1336,0.5298,0,1
Hot Springs Beauty College,hotspringsbeautycollege.com/,NA,NA,0,1
Jefferson Regional School of Nursing,www.jrmc.org/,NA,NA,0,0
John Brown University,https://www.jbu.edu/,1222,0.6764,0,0
Career Academy of Hair Design,www.beautynwa.com/,NA,NA,0,1
Academy of Salon and Spa,www.academysalonspa.com/,NA,NA,0,1
Arkansas State University Mid-South,www.asumidsouth.edu/,NA,NA,1,1
Arkansas Northeastern College,www.anc.edu/,NA,NA,1,0
New Tyler Barber College Inc,newtylerbarbercollege.edu/,NA,NA,0,1
North Arkansas College,www.northark.edu/,NA,NA,1,0
Northwest Technical Institute,www.nwti.edu/,NA,NA,1,1
Ouachita Baptist University,obu.edu/,1212,0.6852,0,0
Arkansas State University Three Rivers,www.asutr.edu/,NA,NA,1,0
Ozarka College,https://www.ozarka.edu/,NA,NA,1,0
University of the Ozarks,https://ozarks.edu/,1088,0.5814,0,0
University of Arkansas Community College-Morrilton,www.uaccm.edu/,1020,1,1,0
Philander Smith University,https://www.philander.edu/,NA,NA,0,1
Phillips Community College of the University of Arkansas,www.pccua.edu/,NA,NA,1,0
Southeast Arkansas College,https://www.seark.edu/,NA,NA,1,0
University of Aesthetics & Cosmetology,https://www.pcec.edu/,NA,NA,0,0
University of Arkansas-Pulaski Technical College,uaptc.edu/,NA,NA,1,1
University of Arkansas Hope-Texarkana,www.uaht.edu/,NA,NA,1,0
University of Arkansas Community College Rich Mountain,https://www.uarichmountain.edu/,NA,NA,1,0
